Terme,Définition,Type,Sujet - court,Sujet long,Année,IDSujet,Sujet - long,Image
Révoltes abbassides au Khorasan,747,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Sac de Constantinople,1204,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
schisme entre Églises romaine et byzantine,1054,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Signature de la Magna Carta,"1215, l’aristocratie anglaise gagne du pouvoir",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Théodose fait du christianisme une religion d’état,380,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Traité de Brétigny,"1360,  les Plantagenêt récupèrent de grands territoires à l’Ouest du royaume de
France",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Traité de Jaffa,"1229, signé entre Ayyoubides et Frédéric II du SERG, les croisés récupèrent Jérusalem, mais les musulmans conservent des enclaves. Jérusalem devient une ville ouverte, partagées en chrétiens et musulmans pendant 15 ans",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Traité de Troyes,"1420, le territoire au nord de la Loire appartient à la couronne d’Angleterre",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
traité de Verdun,"843, l’empire carolingien est divisé en 3, Lotharingie, Francie Occidentale et Francie Orientale",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Urbain II appelle à la croisade,"1095, les pèlerins ne sont plus les bienvenus à Jérusalem",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Urbain II appelle à la première croisade,1095,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Wisigoths et Ostrogoths arrivent dans l’empire romain,365,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Zirides et Hammadides rompent avec les Fatimides,Années 1050,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
